strain,stress,strain_rate,temperature
0.00733,0.446579001,50000000,600
0.00734,0.46187477,50000000,600
0.00735,0.466249134,50000000,600
0.00736,0.447988106,50000000,600
0.00737,0.466372189,50000000,600
0.00738,0.459486612,50000000,600
0.00739,0.437223582,50000000,600
0.0074,0.452231857,50000000,600
0.00741,0.440635564,50000000,600
0.00742,0.438332309,50000000,600
0.00743,0.449175189,50000000,600
0.00744,0.454306213,50000000,600
0.00745,0.465996105,50000000,600
0.00746,0.475383837,50000000,600
0.00747,0.463845212,50000000,600
0.00748,0.478306874,50000000,600
0.00749,0.463796893,50000000,600
0.0075,0.468394255,50000000,600
0.00751,0.477841798,50000000,600
0.00752,0.463511984,50000000,600
0.00753,0.451697134,50000000,600
0.00754,0.468508611,50000000,600
0.00755,0.442959469,50000000,600
0.00756,0.452596847,50000000,600
0.00757,0.452698023,50000000,600
0.00758,0.450690021,50000000,600
0.00759,0.45870069,50000000,600
0.0076,0.465031296,50000000,600
0.00761,0.462954567,50000000,600
0.00762,0.439282279,50000000,600
0.00763,0.464854756,50000000,600
0.00764,0.450858319,50000000,600
0.00765,0.451830621,50000000,600
0.00766,0.465297842,50000000,600
0.00767,0.476742953,50000000,600
0.00768,0.465327891,50000000,600
0.00769,0.46082211,50000000,600
0.0077,0.455843806,50000000,600
0.00771,0.470675906,50000000,600
0.00772,0.463508137,50000000,600
0.00773,0.445471854,50000000,600
0.00774,0.457422993,50000000,600
0.00775,0.450211979,50000000,600
0.00776,0.460048975,50000000,600
0.00777,0.459772556,50000000,600
0.00778,0.463734235,50000000,600
0.00779,0.460921469,50000000,600
0.0078,0.469765495,50000000,600
0.00781,0.467794331,50000000,600
0.00782,0.465087672,50000000,600
0.00783,0.46008675,50000000,600
0.00784,0.447976278,50000000,600
0.00785,0.474096936,50000000,600
0.00786,0.458997598,50000000,600
0.00787,0.464563889,50000000,600
0.00788,0.47165384,50000000,600
0.00789,0.46930747,50000000,600
0.0079,0.468407494,50000000,600
0.00791,0.485259756,50000000,600
0.00792,0.491026522,50000000,600
0.00793,0.475496255,50000000,600
0.00794,0.482032718,50000000,600
0.00795,0.468377993,50000000,600
0.00796,0.457194907,50000000,600
0.00797,0.48500599,50000000,600
0.00798,0.461138497,50000000,600
0.00799,0.471887433,50000000,600
0.008,0.454932907,50000000,600
0.00801,0.472633675,50000000,600
0.00802,0.464186996,50000000,600
0.00803,0.475209077,50000000,600
0.00804,0.484057829,50000000,600
0.00805,0.48611468,50000000,600
