strain,stress,strain_rate,temperature
0.00604,0.524440384,50000000,450
0.00605,0.50331579,50000000,450
0.00606,0.482627681,50000000,450
0.00607,0.48220196,50000000,450
0.00608,0.483741892,50000000,450
0.00609,0.473404153,50000000,450
0.0061,0.495780921,50000000,450
0.00611,0.496707128,50000000,450
0.00612,0.490131802,50000000,450
0.00613,0.470850788,50000000,450
0.00614,0.496096027,50000000,450
0.00615,0.502922858,50000000,450
0.00616,0.501633713,50000000,450
0.00617,0.502785264,50000000,450
0.00618,0.508290779,50000000,450
0.00619,0.501493444,50000000,450
0.0062,0.513580317,50000000,450
0.00621,0.505264445,50000000,450
0.00622,0.515615899,50000000,450
0.00623,0.499870121,50000000,450
0.00624,0.48315642,50000000,450
0.00625,0.493162858,50000000,450
0.00626,0.493184967,50000000,450
0.00627,0.504144782,50000000,450
0.00628,0.506325557,50000000,450
0.00629,0.506945119,50000000,450
0.0063,0.512738009,50000000,450
0.00631,0.51290595,50000000,450
0.00632,0.504659349,50000000,450
0.00633,0.515273055,50000000,450
0.00634,0.514005361,50000000,450
0.00635,0.506742884,50000000,450
0.00636,0.512610388,50000000,450
0.00637,0.509372267,50000000,450
0.00638,0.490393116,50000000,450
0.00639,0.488838529,50000000,450
0.0064,0.506065178,50000000,450
0.00641,0.512904913,50000000,450
0.00642,0.501519522,50000000,450
0.00643,0.492983672,50000000,450
0.00644,0.50807803,50000000,450
0.00645,0.49992724,50000000,450
0.00646,0.508791091,50000000,450
0.00647,0.521140353,50000000,450
0.00648,0.506117908,50000000,450
0.00649,0.492899348,50000000,450
0.0065,0.511974823,50000000,450
0.00651,0.521746387,50000000,450
0.00652,0.510613734,50000000,450
0.00653,0.507047147,50000000,450
0.00654,0.502464795,50000000,450
0.00655,0.515114363,50000000,450
0.00656,0.512823874,50000000,450
0.00657,0.514716868,50000000,450
0.00658,0.521780708,50000000,450
0.00659,0.513818179,50000000,450
0.0066,0.515593072,50000000,450
0.00661,0.519212284,50000000,450
0.00662,0.510556541,50000000,450
0.00663,0.501394323,50000000,450
0.00664,0.49859343,50000000,450
0.00665,0.502869238,50000000,450
0.00666,0.505368582,50000000,450
0.00667,0.51055069,50000000,450
0.00668,0.491325435,50000000,450
0.00669,0.48902586,50000000,450
0.0067,0.50322409,50000000,450
0.00671,0.502697632,50000000,450
0.00672,0.507484663,50000000,450
0.00673,0.528222587,50000000,450
0.00674,0.529203456,50000000,450
0.00675,0.520369449,50000000,450
0.00676,0.504796392,50000000,450
0.00677,0.536689806,50000000,450
0.00678,0.526893991,50000000,450
0.00679,0.521665299,50000000,450
0.0068,0.507654865,50000000,450
0.00681,0.511358035,50000000,450
0.00682,0.490765137,50000000,450
0.00683,0.510033533,50000000,450
0.00684,0.50687742,50000000,450
0.00685,0.507762155,50000000,450
0.00686,0.510203762,50000000,450
0.00687,0.517197866,50000000,450
0.00688,0.521383041,50000000,450
0.00689,0.512746295,50000000,450
0.0069,0.517433209,50000000,450
0.00691,0.540444932,50000000,450
0.00692,0.551436787,50000000,450
0.00693,0.555146741,50000000,450
0.00694,0.551466358,50000000,450
0.00695,0.521722926,50000000,450
0.00696,0.516916726,50000000,450
0.00697,0.518028801,50000000,450
0.00698,0.506084132,50000000,450
0.00699,0.507834247,50000000,450
0.007,0.493116576,50000000,450
0.00701,0.514508152,50000000,450
0.00702,0.511295702,50000000,450
0.00703,0.523814537,50000000,450
0.00704,0.546594947,50000000,450
0.00705,0.547547776,50000000,450
0.00706,0.536500083,50000000,450
0.00707,0.54420755,50000000,450
0.00708,0.54340684,50000000,450
0.00709,0.534107763,50000000,450
0.0071,0.516631187,50000000,450
0.00711,0.528255829,50000000,450
0.00712,0.519259193,50000000,450
0.00713,0.504073617,50000000,450
0.00714,0.492124669,50000000,450
0.00715,0.497018424,50000000,450
0.00716,0.51744741,50000000,450
0.00717,0.534435982,50000000,450
0.00718,0.512159462,50000000,450
0.00719,0.537237952,50000000,450
0.0072,0.526091481,50000000,450
0.00721,0.548741646,50000000,450
0.00722,0.533904114,50000000,450
0.00723,0.541196882,50000000,450
0.00724,0.514518766,50000000,450
0.00725,0.526099955,50000000,450
0.00726,0.51461809,50000000,450
0.00727,0.519343946,50000000,450
0.00728,0.526318562,50000000,450
0.00729,0.522347745,50000000,450
0.0073,0.526147519,50000000,450
0.00731,0.534659287,50000000,450
0.00732,0.530904967,50000000,450
0.00733,0.532112003,50000000,450
0.00734,0.54784799,50000000,450
0.00735,0.535659331,50000000,450
0.00736,0.545540564,50000000,450
0.00737,0.519852152,50000000,450
0.00738,0.544245152,50000000,450
0.00739,0.524647009,50000000,450
0.0074,0.533850416,50000000,450
0.00741,0.516500387,50000000,450
0.00742,0.516368212,50000000,450
0.00743,0.531255468,50000000,450
0.00744,0.523703455,50000000,450
0.00745,0.535442288,50000000,450
0.00746,0.530095255,50000000,450
0.00747,0.546850942,50000000,450
0.00748,0.546367603,50000000,450
0.00749,0.546667427,50000000,450
0.0075,0.556364368,50000000,450
0.00751,0.544645773,50000000,450
0.00752,0.54002754,50000000,450
0.00753,0.552870056,50000000,450
0.00754,0.537465561,50000000,450
0.00755,0.549725721,50000000,450
0.00756,0.532335732,50000000,450
0.00757,0.522630461,50000000,450
0.00758,0.537682743,50000000,450
0.00759,0.520307126,50000000,450
0.0076,0.533360099,50000000,450
0.00761,0.535938662,50000000,450
0.00762,0.541547155,50000000,450
0.00763,0.546664766,50000000,450
0.00764,0.550762791,50000000,450
0.00765,0.545114428,50000000,450
0.00766,0.545020268,50000000,450
0.00767,0.538643612,50000000,450
0.00768,0.552618334,50000000,450
0.00769,0.541415604,50000000,450
0.0077,0.540365768,50000000,450
0.00771,0.545760229,50000000,450
0.00772,0.531613169,50000000,450
0.00773,0.524212068,50000000,450
0.00774,0.537679713,50000000,450
0.00775,0.522291689,50000000,450
0.00776,0.52899669,50000000,450
0.00777,0.546349048,50000000,450
0.00778,0.557210524,50000000,450
0.00779,0.545145513,50000000,450
0.0078,0.554059068,50000000,450
0.00781,0.567228373,50000000,450
0.00782,0.570584763,50000000,450
0.00783,0.569227789,50000000,450
0.00784,0.569608725,50000000,450
0.00785,0.540781478,50000000,450
0.00786,0.54622762,50000000,450
0.00787,0.548651515,50000000,450
0.00788,0.549263634,50000000,450
0.00789,0.546345728,50000000,450
0.0079,0.540865437,50000000,450
0.00791,0.561965705,50000000,450
0.00792,0.556499449,50000000,450
0.00793,0.565679089,50000000,450
0.00794,0.562428838,50000000,450
0.00795,0.555044943,50000000,450
0.00796,0.568811359,50000000,450
0.00797,0.552861433,50000000,450
0.00798,0.571506338,50000000,450
0.00799,0.560408658,50000000,450
0.008,0.544289628,50000000,450
0.00801,0.563792361,50000000,450
0.00802,0.562047525,50000000,450
0.00803,0.555387244,50000000,450
0.00804,0.559482625,50000000,450
0.00805,0.555409017,50000000,450
0.00806,0.557423825,50000000,450
0.00807,0.569735695,50000000,450
0.00808,0.555989409,50000000,450
0.00809,0.564182628,50000000,450
0.0081,0.558332696,50000000,450
0.00811,0.552909528,50000000,450
0.00812,0.556498146,50000000,450
0.00813,0.571671947,50000000,450
0.00814,0.55201326,50000000,450
0.00815,0.565985577,50000000,450
0.00816,0.561137655,50000000,450
0.00817,0.564715397,50000000,450
0.00818,0.561775299,50000000,450
